Dhid,East,North,Elev,TD,Exp_Line,Year
2615,6345.57,68464.93,805.31,63.00,19_n,1977
2616,6333.70,68206.92,806.01,65.40,19_n,1977
2617,6731.78,66877.22,852.90,55.20,19-20_s,1977
2618,6217.41,68400.10,804.78,55.00,19a_n,1977
2622,6350.22,66773.49,846.36,58.10,21_s,1977
2623,6261.71,66698.58,845.40,65.30,21-22_s,1977
2624,6139.51,66630.40,843.36,48.60,22_s,1977
2625,5997.41,66643.14,841.61,54.40,22-23_s,1977
2626,6014.58,66619.38,841.93,60.30,22-23_s,1977
2627,5113.41,68137.23,799.18,48.00,23_n,1977
2628,5150.70,68027.40,800.74,39.00,23_n,1977
2629,5894.70,66530.13,842.53,57.00,23_s,1977
2630,4998.41,68078.76,798.63,42.60,23-24_n,1977
2631,5057.91,67977.58,799.97,40.00,23-24_n,1977
2632,5730.11,66574.54,840.60,47.50,23-24_s,1977
2633,5803.18,66455.18,842.58,50.00,23-24_s,1977
2634,4929.87,67934.62,799.71,29.70,24_n,1977
2635,5626.29,66492.34,840.24,48.30,24_s,1977
2636,4820.15,67856.16,801.05,38.50,24-25_n,1977
2638,5538.43,66400.70,836.33,72.50,24-25_s,1977
2639,4673.79,67827.53,801.02,56.00,25_n,1977
2640,4685.78,67796.42,801.75,33.00,25_n,1977
2641,5446.51,66320.20,826.72,35.80,25_s,1977
2642,4527.12,67771.46,800.64,49.50,25-26_n,1977
2644,4391.20,67702.17,800.39,45.00,26_n,1977
2645,4243.52,67512.38,801.97,42.50,26-27_n,1977
2646,5062.92,66056.46,829.80,83.50,26-27_s,1977
2647,4031.05,67490.60,800.56,48.10,27_n,1977
2648,4071.33,67410.25,802.02,48.10,27_n,1977
2649,3875.11,67381.36,799.96,48.20,27-28_n,1977
2651,4658.16,65870.92,828.01,58.50,27-28_s,1977
2653,4402.91,65897.66,824.06,61.20,28_s,1977
2654,3281.03,67376.21,795.76,46.00,29_n,1977
2655,4058.18,65701.34,820.77,63.70,29_s,1977
2656,3874.76,65561.27,822.03,59.70,29-30_s,1977
2657,3487.81,65573.34,815.83,64.00,30-31_s,1977
2658,3093.00,65238.12,816.43,72.30,32_s,1977
2659,1978.25,65214.73,803.05,82.00,35_s,1977
54,6855.115,68487.163,808.490,77.700,17-18_n,1958-1961
57,2090.946,65813.792,796.210,153.800,34_n,1958-1961
63,2330.182,65279.245,804.490,87.700,34_s,1958-1961
